edge\op,none,skip_connect,nor_conv_1x1,nor_conv_3x3,avg_pool_3x3,
acc,77.36±22.55,83.81±10.64,86.38±9.1, 87.32±9.17,81.02±11.85,
discrete acc darts,83.42,84.1,72,76.35,39.66,
dartspt,85.43,17.02,78.13,59.09,85.34,
zc pt,3455.233646,3449.898772,3449.538363,3441.815563,3461.179476,3
discrete zc,3331.007285,3445.489455,3366.877065,3437.551079,3423.180255,
alpha,0.0758,0.7742,0.05,0.0761,0.024,
best-acc,94.15,94.18,94.44,94.68,93.86,
alpha-60,0.1387,0.4758,0.1296,0.181,0.0748,
tenaspt,38.5,48.0,31.0,6.0,37.5,
synflow,1.9286723850908796e+31,7.990282869734622e+30,1.2421187150331997e+30,9.438907569335487e+26,8.191504786187086e+30,
synflow_disc,4.639162000716631e+21, 1.4975281050055959e+26, 4.2221622054263117e+30, 1.9475517523688712e+36, 1.5075022033622535e+26,
best_nwot,1702.1967536035393,1773.1779654806287, 1793.8140278364453, 1792.8682630835763, 1761.1262357119376,
best_synflow,5.784248799475683e+39, 1.4769546208886953e+44, 6.658953754065702e+49, 5.1987025703231504e+39, 1.9928388494681343e+35,
zc-pt-post,3067.0476, 3055.9404, 3059.8901, 3060.4536, 3073.5583,
zc-disc-post,2942.267, 3068.6416, 3009.5847, 3028.1794, 3031.4248,
,,,,,,
acc,80.03 ±19.38,83.11 ±12.81,85.23 ±11.0,85.99±11.1,81.52±13.06,
discrete acc darts,85.12,83.39,76.72,81.34,84.38,
dartspt,85.52,36.1,84.39,80.95,85.49,
zc pt,3452.145851,3448.696318,3441.809174,3440.652631,3453.739943,3
discrete zc,3429.074707,3435.750274,3407.872847,3434.584512,3421.442414,
alpha,0.0629,0.813,0.039,0.0579,0.0269,
best-acc,94.24,94.16,94.49,94.68,94.09,
alpha-60,0.1236,0.5535,0.11,0.1249,0.088,
tenaspt,7.0,55.0,10.0,15.0,39.0,
synflow,3.116079880492518e+30,2.5018418732419554e+30,1.4274537256246266e+30,3.138287824323275e+29,2.5693894962958226e+30,
synflow_disc,5.615386425664938e+28, 2.340336657109326e+29, 1.9258305801684058e+30, 3.012759514473006e+32, 2.2897138361934977e+29,
best_nwot,1765.3743820515451, 1770.8436009213751, 1791.917305624048, 1793.8140278364453, 1763.877253730585,
best_synflow,1.9424580089849912e+49, 2.764587447411338e+49, 6.658953754065702e+49, 2.0353792445711388e+49, 1.4435653786128956e+49,
zc-pt-post,3067.0476, 3058.9197, 3048.8745, 3051.2664, 3066.668,
zc-disc-post,3020.0203, 3052.1936, 3026.2217, 3022.0935, 3029.2,
,,,,,,
acc,82.9±14.68,82.44 ±14.25,84.05 ±13.19,84.49 ±13.21,81.98 ±14.54,
discrete acc darts,85.96,85.18,54.02,78.41,84.88,
dartspt,85.51,80.29,81.86,77.68,85.32,
zc pt,3446.521007,3447.612434,3435.455206,3436.396744,3449.275466,2
discrete zc,3428.795464,3423.361285,3440.925616,3437.286935,3416.891544,
alpha,0.3339,0.4742,0.061,0.0774,0.0534,
best-acc,94.25,94.43,94.49,94.68,94.19,
alpha-60,0.2403,0.3297,0.1495,0.1748,0.1056,
tenaspt,31.5,10.0,30.0,16.5,36.5,
synflow,1.0312338471669537e+31,4.9191575008661263e+30,1.4241158958667068e+30,1.0282498082879338e+28,5.038622256524752e+30,
synflow_disc,1.6980829611704765e+25, 3.3199508659283994e+27, 3.3825056097270114e+30, 1.2059727722928161e+35, 3.279653417965715e+27,
best_nwot,1764.51075805859,1764.116749555202, 1793.8140278364453, 1792.8239766388833, 1764.1848313456592,
best_synflow,8.376122028137071e+41, 1.0615041036082487e+45, 6.658953754065702e+49, 8.399427750574918e+41, 2.5270360875229e+39,
zc-pt-post,3067.0476, 3068.708, 3056.3506, 3047.9695, 3071.3577,
zc-disc-post,3044.023, 3033.0627, 3032.825, 3052.0688, 3023.2302,
,,,,,,
acc,74.02 ±26.1,85.17 ±7.59,87.3 ±2.48,88.28 ±2.06,81.38 ±8.91,
discrete acc darts,66.18,85.38,78.8,81.59,82.89,
dartspt,85.49,9.86,81.79,59.18,85.48,
zc pt,3453.805194,3435.985406,3444.044047,3445.595326,3447.067855,1
discrete zc,3408.990502,3464.050741,3359.888463,3382.1755,3431.805571,
alpha,0.0267,0.8163,0.0471,0.0904,0.0194,
best-acc,94.16,94.68,94.03,94.04,93.85,
alpha-60,0.0636,0.6513,0.0826,0.1335,0.0691,
tenaspt,34.0,44.0,53.5,23.0,30.0,
synflow,2.0042808467776213e+30,1.9513599734483263e+30,1.5188352495143643e+30,7.704103863066581e+29,1.9536326167605112e+30,
synflow_disc,4.3050000047616484e+29, 7.635399455155384e+29, 1.5949429556375966e+30, 1.4519088590209463e+31, 7.345232988374157e+29,
best_nwot,1766.5481959337162,1769.1683503033412, 1793.8140278364453, 1792.8682630835763, 1765.1445530390838,
best_synflow,5.90523769961745e+49, 6.344766865099622e+49, 6.571181309028854e+49, 6.57509920946309e+49, 6.658953754065702e+49,
zc-pt-post,3067.0476, 3032.6658, 3058.9646, 3059.2861, 3047.1965,
zc-disc-post,2975.976, 3130.7397, 3008.5625, 3009.341, 3086.3398,
,,,,,,
acc,80.14 ±19.52,83.05 ±12.74,85.09 ±11.17,85.7 ±11.18,81.89 ±12.98,
discrete acc darts,86.44,84.75,80.23,80.46,80.13,
dartspt,85.45,51.15,78.84,64.64,85.14,
zc pt,3451.055723,3449.796894,3442.625354,3441.131751,3453.311493,3
discrete zc,3433.98773,3435.573458,3424.470031,3431.143217,3423.153213,
alpha,0.0857,0.7082,0.0716,0.0946,0.0399,
best-acc,94.29,94.18,94.56,94.68,94.23,
alpha-60,0.1183,0.48,0.1305,0.1732,0.0979,
tenaspt,32.0,32.5,36.5,32.0,52.0,
synflow,3.165975343348193e+30,2.4302742111297496e+30,1.4853908452542004e+30,2.868307126123347e+29,2.6891361283692336e+30,
synflow_disc,5.5202846896598e+28, 2.4896852024898197e+29, 2.1810394989246777e+30, 2.9482018739806336e+32, 2.2732178076450144e+29,
best_nwot, 1752.024924623228,1793.8140278364453, 1786.3402409418215, 1785.0294182838636, 1781.9741301640186,
best_synflow,1.8865959738805548e+49, 2.593134717306188e+49, 6.658953754065702e+49, 2.021273089103704e+49, 1.6187260144154453e+49,
zc-pt-post,3067.0476, 3060.9983, 3057.1006, 3054.3428, 3066.2087,
zc-disc-post,3037.8726, 3055.4219, 3027.6638, 3024.3271, 3037.8108,
,,,,,,
acc,77.61 ±22.16,83.43 ±11.34,86.18 ±9.08,86.95 ±9.02,81.74 ±11.79,
discrete acc darts,86.28,82.69,77.13,76.8,81.99,
dartspt,85.54,32.43,81.04,72.75,85.51,
zc pt,3450.967554,3448.211459,3440.79926,3443.240243,3452.989921,2
discrete zc,3434.421701,3437.661196,3418.572637,3397.51709,3424.166157,
alpha,0.1554,0.7029,0.0538,0.0598,0.028,
best-acc,94.05,94.16,94.68,94.56,94.1,
alpha-60,0.1648,0.4853,0.1223,0.1397,0.088,
tenaspt,38.5,16.0,20.0,17.0,27.5,
synflow,1.9460309216168614e+31,8.014786854561015e+30,1.1851807660289746e+30,8.96867143875011e+26,7.75842932776677e+30,
synflow_disc,4.777733726551756e+21, 1.4572459237815469e+26, 3.8590321292364994e+30, 1.8898449210848245e+36, 1.5222938895812008e+26,
best_nwot, 1761.8789642379636,1769.103803678444, 1793.8140278364453, 1792.8239766388833, 1761.9145207476113,
best_synflow,5.776473195639679e+39, 1.4672616553030765e+44, 6.658953754065702e+49, 5.480408193532999e+39, 1.9606567871518125e+35,
zc-pt-post,3067.0476, 3063.1135, 3058.818, 3064.5405, 3070.7593,
zc-disc-post,3061.6133, 3063.294, 3038.05, 3012.938, 3042.5535,
